"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0066"	120.67	126.12	125.28	85.22	86.8	87.3	91.38	94.38	78.39	80.1	78.98	90.59	65.67	71.51	95.06	82.29	67.29	96.77	66.4	52.86	59.03	85.4	68.11	92.89	65.59	56.37	95.78	71.04	54.68	78.95	92.39	53.55	85.11
"gene-HI_0067"	175.92	206.09	194.34	179.29	165.79	156.17	151.48	168.96	139.91	233.22	215.06	132.12	225.06	225.08	154.35	183.52	219.52	154.37	161.43	137.39	47.6	170.9	180.52	139.59	194.57	199.41	156.26	196.04	189.51	164.55	139.98	134.94	130.06
"gene-HI_0068"	129.42	132.42	124.81	128.8	113.4	108.65	111.39	120.81	87.86	145.91	159.68	102.59	183.93	171.16	118.98	152.99	156.53	118.75	126.69	81.15	27.63	109.67	133.05	100.46	160.43	160.21	115.51	154.74	171.6	127.78	114.15	112.41	94.3
"gene-HI_0069"	94.99	102	100.48	109.9	95.32	87.09	99.97	109.88	98.88	105.33	116.63	89.99	167.25	184.72	152.88	175.77	221.67	183.02	160.73	133.77	99.6	75.19	70.49	96.14	174.92	132.41	146.98	188.79	152.52	162.47	125.16	118.17	134.06
"gene-HI_0070"	177.41	175.25	176.12	126.57	128.67	119.86	120.52	120.1	111.18	148.69	153.77	140.79	153.41	163.41	164.43	187.96	217.15	226.32	168.39	236.79	412.68	145.6	134.58	144.48	156.54	149.29	143.7	182.56	161.68	129.95	122.25	128.39	133.19
"gene-HI_0071"	405.7	415.12	539.82	229.77	285.88	313.32	283.29	262.42	269.67	503.77	312.04	323.77	618.49	514.93	468.44	273.9	251.51	272.82	296.26	299.07	391.49	583.91	574.13	322.34	577.41	460.97	762.38	324.91	332.94	266.19	245.27	258	272.86
"gene-HI_0072"	186.49	186.09	200.37	158.01	152.93	153.44	168.72	168.79	162.1	175.28	166.69	133.6	201.13	204.16	167.89	226.96	232.45	214.45	166.13	247.62	156.95	141.07	154.89	155.4	181.02	163.32	144.96	219.4	193.93	153.96	133.94	146.71	129.1
"gene-HI_0073"	216	195.41	209.1	146.48	139.83	140.03	156.68	139.22	129.64	202.45	164.78	144.65	281.58	278.05	197.96	285.14	259.77	207.39	216.84	284.84	148.86	185.12	178.82	150.6	243.41	197.82	175.7	294.4	238.54	192.96	191.72	180.98	164.69
"gene-HI_0074"	168.18	178.25	174.89	137.29	144.1	138.5	150.36	135.1	134.45	152.39	133.4	155.6	95.51	210.18	195.99	244.46	131.84	232.8	189.16	257.12	420.22	173.04	75.73	179.11	171.72	79.66	160.33	179.69	118	199.2	166.95	106.99	159.64
"gene-HI_0075"	42.35	47.24	38.45	120.52	101.38	100.84	187.37	163.59	94.94	211.26	236.09	73.02	568.35	514.99	305.26	236.45	163.79	226.04	188.18	77.53	55.55	119.18	185.42	98.41	632.33	856.04	392.38	280.27	377.95	262.84	190.65	259.49	200.75
"gene-HI_0076"	209.9	193.26	168.55	159.91	159.03	152.93	175.49	139.82	125.82	241.97	188.94	196.17	185.98	172.95	146.05	139.11	129.47	130.07	114.11	124.08	78.21	179.28	223.84	215.2	149.59	179.13	150.54	141.75	150.87	98.46	94.55	115.43	106.96
"gene-HI_0077"	118.37	113.95	100.23	85.95	81.12	81.67	93.52	83.88	73.44	136.64	132.66	97.57	124.47	123.14	81.73	114.87	103.92	91.35	99.07	85.4	40.39	114.93	149.24	108	122.71	113.39	79.94	111.31	109.47	68.54	84.31	87.19	69.6
