transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0101	857	977	984	800	838	568	716	882	695	425	650	488	326	355	398	175	171	236	255	260	113	674	578	844	413	327	596	310	288	323	322	414	551
gene-HI_0102	3247	3913	3385	3015	3052	2209	2371	2959	2674	2065	2626	1838	1391	1737	1368	751	1054	870	1415	1506	624	3045	2635	3292	2089	1740	2133	1258	1404	1118	1610	1912	1713
gene-HI_0103	988	1115	996	1014	955	681	761	971	823	914	867	606	551	591	385	376	434	235	553	707	420	1095	965	1152	796	590	683	515	525	358	636	762	559
gene-HI_0104	7008	7830	11820	1357	4104	3567	2773	2373	2062	4698	2768	3715	3479	6695	4855	571	1093	1401	1862	1008	1003	8945	6952	4398	7323	3244	20462	1230	1535	3539	2046	2339	4116
gene-HI_0105	1533	1775	1612	1809	1871	1540	1655	1571	1418	1172	1368	1237	1237	1561	1289	1056	901	1193	1041	1451	811	1933	1634	1964	1546	1127	1825	1325	1393	1290	1156	1381	1585
gene-HI_0106	5708	5511	5610	4924	4666	3573	4354	4716	4227	2576	3469	3343	2432	3051	3133	2628	1972	3183	2080	2452	2131	4148	3253	5767	3256	2421	4051	2890	3241	2855	2657	3272	3563
gene-HI_0107	3055	3147	3370	2826	2685	2004	2198	2997	1879	1564	2648	1397	726	921	788	418	494	451	1022	627	328	2614	1785	2126	1369	804	1198	930	809	670	1227	1211	1218
gene-HI_0108	868	1067	1058	1138	831	733	815	837	907	709	749	359	716	1005	739	728	1496	749	883	1816	1865	1435	1218	877	1123	786	514	1209	1056	814	1106	1037	814
gene-HI_0109	72	112	103	104	66	53	45	72	58	44	40	62	31	60	106	105	74	113	66	98	142	70	44	85	54	42	64	61	32	105	132	66	142
gene-HI_0110	11049	12309	11191	12356	11977	9231	10415	10926	10751	10942	10717	7213	9306	13440	7115	7143	8186	6047	6966	7244	4040	14599	13412	13082	12008	8959	9394	9349	9791	7236	8045	9307	7216
gene-HI_0111	2242	2446	2517	2680	2299	1810	2188	2248	2236	2803	3067	1419	3545	5304	2202	2895	3778	2060	2448	2593	822	4043	3185	2608	4602	2955	2568	4167	3762	2609	2981	3240	2366
gene-HI_0112	485	498	506	607	441	390	446	416	387	437	573	308	438	879	378	501	447	362	419	352	101	704	295	524	696	284	483	512	394	543	456	404	396
gene-HI_0113	5513	6528	6546	6440	6526	5246	6171	6226	5471	5568	5855	3948	3952	5889	4628	2967	3210	4262	3190	1935	1288	8475	5456	8023	6117	3681	7929	3852	3103	4347	4498	3290	4001
gene-HI_0114	101	108	102	180	144	146	194	184	213	49	48	107	22	51	127	34	31	99	68	61	144	139	42	166	92	26	113	41	23	78	150	41	156
rna-HI_r01	3	1	2	2	2	2	1	1	3	0	1	1	2	1	1	0	1	2	2	1	5	3	1	1	2	0	1	1	0	6	1	0	17
rna-HI_r02	8396	4171	2468	4872	8351	1907	4004	8531	5186	273	1469	1116	848	1710	14415	747	1577	2500	524	485	10411	473	485	1184	1330	2068	1263	1849	506	10329	1943	300	5461
rna-HI_t02	159	170	216	565	440	398	520	478	238	435	401	288	94	88	151	41	35	30	283	57	32	793	409	516	358	136	146	190	83	78	607	251	211
rna-HI_r03	5579	1293	844	1800	2079	784	1602	2202	2419	89	296	514	282	427	9804	263	437	1270	155	136	7603	124	129	1234	361	651	756	434	185	3768	509	89	2007
rna-HI_t03	890	910	889	2583	1893	1561	2204	1829	1506	1237	1043	1371	652	534	774	491	420	479	1531	1783	3347	2787	1937	2437	1513	763	1067	1260	823	1162	3424	1880	1961
rna-HI_t04	2498	2592	2065	4205	2960	2396	3473	3150	2231	2199	2029	1889	1077	1026	1270	993	833	850	2673	3241	6520	4517	3308	3760	2949	1543	1473	2355	1701	1484	6864	3336	2974
rna-HI_t05	2179	2285	1834	4057	2787	2145	3132	2749	2102	1487	1398	1882	791	735	1148	731	580	782	1830	2429	6021	2935	2344	3569	1956	1117	1425	1516	1245	1501	4261	2354	2681
rna-HI_t06	118	97	73	22	22	15	18	15	11	24	20	12	14	14	14	8	13	8	12	18	12	51	40	21	31	17	8	20	16	10	16	17	19
gene-HI_0118	1883	2027	1927	2125	1728	1397	1583	1705	1080	1720	2004	1077	817	982	649	595	775	519	971	692	410	2543	2503	1698	1414	1016	784	1184	1068	773	1301	1308	908
gene-HI_0119	25060	33984	31209	60108	65406	48606	59645	69202	69566	33305	38345	31409	34293	58562	33774	24141	26412	33543	24486	26849	9689	39790	33998	56642	46450	30325	59143	31912	31382	53603	24352	28473	37072
gene-HI_0120	1507	1640	1482	1374	1261	1064	1144	1101	972	1385	1655	890	661	1346	755	728	720	508	891	272	149	2080	1291	1480	1405	756	1054	873	725	629	1248	1031	855
gene-HI_0121	6603	7342	6415	6315	5965	4934	5338	5503	4870	5834	6575	4421	5044	6527	4137	3853	5145	3173	5307	5470	1474	9463	8738	7079	7069	5711	5275	5790	6032	3759	6021	6708	5042
gene-HI_0122	1344	1541	1283	1293	1538	906	881	1927	1716	717	1062	774	815	1086	1455	819	894	1001	1021	1114	497	1109	554	1647	1227	628	1594	981	724	1044	1053	1044	1574
